Wskusku,Description,Location,High,Tie,Case Height,Case Depth,Case Width,Case Weight
3500495,KRO DICED TOM W/JALAPENOS     ,G4BP83              ,6,17,9.00,12.00,9.00,25.60
3501938,BUSH GARBANZO BEANS           ,G4BQ02              ,8,17,4.50,12.10,9.10,13.80
3500017,KRO WHOLE PEELED TOMATOES     ,G4BQ12              ,7,10,4.78,16.24,12.12,24.60
3503524,KRO FIRE RSTD SALSA TOMS      ,G4BQ14              ,7,17,4.50,12.20,9.10,12.70
3504266,HNTS NS TOMATO SAUCE          ,G4BQ22              ,5,9,6.30,16.20,10.70,29.00
3506762,PRSL JARRED BABY CORN         ,G4BQ32              ,7,13,4.84,10.43,13.62,16.00
3500907,KRO ITLN STY TOMATO PASTE     ,G4BQ34              ,9,16,3.59,13.06,8.81,11.00
3504378,STO FLOUR                     ,G4BQ53              ,6,10,8.50,16.00,12.00,40.50
3515487,GMDL ALL PURPOSE FLOUR        ,G4BQ63              ,8,8,5.70,18.10,12.30,37.00
3501645,KRO ALL PURPOSE FLOUR         ,G4BQ73              ,12,8,4.00,23.00,14.00,25.50
3504412,BUSH VEGETARN BAKED BEANS     ,G4BQ83              ,7,14,6.00,13.50,10.00,24.40
3501750,KRO CUT YAMS IN SYRUP         ,G4BR02              ,7,10,4.75,16.50,12.00,27.00
3505621,RSTA LF AUTH BLACK BEANS      ,G4BR04              ,4,16,4.56,12.25,9.13,13.64
3503003,TRAP JLPN BLKEYE PEASBCN      ,G4BR12              ,8,17,4.50,9.00,9.00,14.00
3500765,HNTS TOMATO PASTE             ,G4BR14              ,9,16,3.50,13.10,8.80,10.80
3503111,KRO SMALL EARLY PEAS          ,G4BR22              ,4,17,9.00,12.00,9.00,27.00
3501807,HNTS CRUSHED TOMATOES         ,G4BR24              ,7,16,4.57,12.31,9.13,12.80
3501897,BUSH BLACKEYE PEAS            ,G4BR32              ,8,17,4.50,12.10,9.10,13.60
3500588,KRO TOMATO PASTE              ,G4BR34              ,10,16,3.50,13.19,8.81,11.10
3500135,PONR FLOUR                    ,G4BR63              ,12,7,4.00,20.00,13.00,25.30
3501830,BUSH MIXED CHILI BEANS        ,G4BR73              ,12,17,4.50,12.10,9.13,13.40
3505701,KRO ORIGINAL BAKED BEANS      ,G4BR83              ,8,14,5.88,17.75,14.38,24.00
3503370,POPY LEAF SPINACH             ,G4BS02              ,4,17,9.00,12.00,9.00,23.10
3504979,SW STEWED TOMATOES            ,G4BS04              ,7,17,4.56,12.38,9.13,12.75
3500423,RANCH STYLE BEANS             ,G4BS12              ,6,14,5.88,13.75,10.56,21.98
3503750,DELMNT SUMMER CRISP CORN      ,G4BS14              ,9,15,3.60,13.00,9.80,10.20
3500406,HNTS RESEALBLE TOMATO SCE     ,G4BS22              ,4,30,8.13,7.88,7.63,13.40
3597586,TR ORGNCS CRUSHD TOMATOES     ,G4BS24              ,5,16,4.81,12.38,8.31,12.13
3501480,HNTS MNWCH BOLD SLPY JOE      ,G4BS32              ,7,16,4.50,12.50,9.50,13.40
3506069,DELMNT WHT SHEPG SWT CRN      ,G4BS34              ,9,15,3.63,13.00,9.87,10.20
3500435,GLORY SKILLET CORN            ,G4BS53              ,10,17,4.50,12.06,9.06,14.00
3502069,BUSH GRLLN HOT HNY BEANS      ,G4BS63              ,10,14,4.63,13.75,10.25,19.20
3500087,KRO PORK  BEANS               ,G4BS73              ,10,17,4.50,12.13,9.13,13.60
3501383,PLBRY ALL PURPOSE FLOUR       ,G4BS83              ,6,10,8.50,16.00,11.50,41.20
3504596,KRO CUT GREEN BEANS 4CT       ,G4BT02              ,10,8,4.50,18.00,12.25,26.00
3501945,DELMNT DCD POTATO CJN STY     ,G4BT12              ,12,17,4.56,12.38,9.13,13.04
3503076,DELMNT CUT GREEN BEANS        ,G4BT22              ,10,20,5.00,12.30,8.30,12.70
3504104,BUSH ORIGINAL BAKED BEANS     ,G4BT32              ,6,16,7.00,17.00,13.00,23.20
3501196,KRO SHOESTRING BEETS          ,G4BT53              ,10,17,4.50,12.00,9.25,13.30
3503157,KRO PURE CANE SUGAR           ,G4BT63              ,6,10,7.00,19.68,9.12,41.27
3504268,HNTS TOMATO SAUCE             ,G4BT73              ,11,8,4.50,18.30,12.30,26.50
3500248,DELMNT SWEET PEAS             ,G4BT83              ,11,7,4.78,18.64,12.51,26.90
3500015,KRO TOMATO PUREE              ,G4BU02              ,10,10,4.78,16.24,12.12,24.60
3502856,KRO CRM STYLE GOLDEN CORN     ,G4BU12              ,5,17,9.13,12.25,9.25,26.00
3502989,DELMNT CRM STYLE SWT CORN     ,G4BU22              ,6,17,9.00,12.00,9.00,25.80
3500223,KRO CUT GREEN BEANS           ,G4BU32              ,7,8,7.44,18.81,12.63,43.00
3504096,BUSH PINTO BEANS              ,G4BU53              ,6,16,7.00,13.00,8.56,22.30
3501678,PLBRY UNBLEACHED FLOUR        ,G4BU63              ,6,10,8.50,16.00,11.50,41.26
3503808,BUSH CNTRY STYL BKD BEANS     ,G4BU73              ,12,14,3.50,13.70,10.20,13.80
3502741,KRO ALL PURPOSE FLOUR         ,G4BU83              ,8,8,6.50,17.50,12.00,41.00
3502629,SMRTWY GRANULATED SUGAR       ,G4BV02              ,14,7,3.00,21.00,13.25,25.20
3504257,HNTS TOMATO SAUCE             ,G4BV12              ,8,9,6.00,16.20,11.00,29.00
3586320,STO NS GREEN BEANS            ,G4BV22              ,10,17,4.50,12.00,9.25,13.00
3504458,KRO ORIGINAL BAKED BEANS      ,G4BV32              ,8,17,4.63,12.13,9.00,13.10
3502309,BUSH MILD CLASSIC HMSTYLE     ,G4BV53              ,12,14,3.50,13.75,10.25,13.50
3504817,RNCH STYL BEANS               ,G4BV63              ,10,15,4.50,12.50,9.10,13.10
3501821,PLBRY BREAD FLOUR             ,G4BV73              ,6,10,8.50,16.00,11.50,41.26
3502747,KRO ALL PURPOSE FLOUR         ,G4BV83              ,6,10,8.50,16.40,11.60,41.00
3505029,BUSH MILD WHIT CHILI BEAN     ,G4BW02              ,8,17,6.00,12.13,9.13,13.80
3502099,DELMLNT WHL GRN BNS TRYKI     ,G4BW12              ,12,17,4.56,12.38,9.13,12.74
3504828,RNCH STYL JALPNO PINTO BN     ,G4BW22              ,10,15,4.40,14.20,9.00,12.25
3504316,BUSH MPL CRD BCN BKD BEAN     ,G4BW32              ,7,14,6.00,14.00,10.30,23.70
3582834,STO PETITE DCD TOMATOES       ,G4BW53              ,7,17,4.50,12.25,9.13,13.00
3520184,IMPR SUGAR                    ,G4BW63              ,9,7,5.00,20.00,16.00,40.60
3503913,BUSH BR SGR HCKRY BKD BNS     ,G4BW73              ,7,14,6.25,13.75,10.25,24.30
3520195,IMPR XTRA FINE GRAN SUGAR     ,G4BW83              ,6,10,8.00,20.00,9.50,40.60
3501936,BUSH MILD CHILI BEANS         ,G4BX02              ,7,17,4.50,12.10,9.10,13.80
3502937,DELMNT NS CUT GRN BEANS       ,G4BX04              ,2,22,3.50,11.00,8.30,7.80
3500387,BUSH BEST BBQ BKD BEANS       ,G4BX12              ,5,14,6.75,13.75,10.25,23.90
3500103,HNTS BSL GRL ORE TMTO PST     ,G4BX14              ,9,16,3.50,13.10,8.80,10.80
